card_Assault Rifle_Burst Fire.tex
card_Assault Rifle_Aimed Fire.tex
card_Assault Rifle_From the hip.tex
card_Assault Rifle_Covering Fire.tex
card_Railgun_Hypervelocity Shot.tex
card_Railgun_Piercing Round.tex
card_Railgun_Snipe.tex
card_Railgun_Kinetic Barrage.tex
card_Railgun_Hypervelocity Shot.tex
card_Railgun_Piercing Round.tex
card_Railgun_Snipe.tex
card_Railgun_Kinetic Barrage.tex
card_Specialist_Combo strike.tex
card_Specialist_Snipers aim.tex
card_Specialist_Master duelist.tex
card_Specialist_Practiced Technique.tex
card_Booster_Full speed ahead.tex
card_Shield_Bash.tex
card_Shield_Full Guard.tex
card_Shield_Push on.tex
